0610007P14Rik	ORF11|RIKEN cDNA 0610007P14 gene
Gm9603	predicted gene 9603
Gm9611	predicted gene 9611
Gm9631	predicted gene 9631
Gm9639	predicted gene 9639
Gm973	LOC381260|predicted gene 973
Gm9732	predicted gene 9732
Gm9733	predicted gene 9733
Gm9736	predicted gene 9736
Gm9745	predicted gene 9745
Gm9747	predicted gene 9747
Gm9758	predicted gene 9758
Gm9789	predicted gene 9789
Gm9799	predicted gene 9799
Gm9804	predicted gene 9804
Gm9817	predicted gene 9817
Gm9821	predicted gene 9821
Gm9837	predicted gene 9837
Gm9839	predicted gene 9839
Gm9844	predicted pseudogene 9844
Gm9857	predicted gene 9857
Gm9869	predicted gene 9869
Gm9881	predicted gene 9881
Gm9884	predicted gene 9884
Gm9887	predicted gene 9887
Gm9903	EG433873|predicted gene 9903
Gm9905	predicted gene 9905
Gm9913	predicted gene 9913
Gm9920	predicted gene 9920
Gm9922	predicted gene 9922
Gm9930	predicted gene 9930
Gm9936	predicted gene 9936
Gm9938	predicted gene 9938
Gm9944	predicted gene 9944
Gm9945	predicted gene 9945
Gm9949	EG225609|predicted gene 9949
Gm9954	predicted gene 9954
Gm9955	predicted gene 9955
Gm9956	predicted gene 9956
Gm996	LOC381353|predicted gene 996
Gm9961	predicted gene 9961
Gm9964	predicted gene 9964
Gm9966	predicted gene 9966
Gm9967	predicted gene 9967
Gm9970	predicted gene 9970
Gm9972	predicted gene 9972
Gm9978	predicted gene 9978
Gm9979	predicted gene 9979
Gm9990	predicted gene 9990
Gm9992	predicted gene 9992
Gm9994	predicted gene 9994
Gm9996	predicted gene 9996
Gmcl1	Gcl|2810049L19Rik|mglc-1|germ cell-less homolog 1 (Drosophila)
Gmcl1l	1700017G21Rik|germ cell-less homolog 1 (Drosophila)-like
Gmds	GDP-mannose 4, 6-dehydratase
Gmeb1	1110050A04Rik|glucocorticoid modulatory element binding protein 1
Gmeb2	glucocorticoid modulatory element binding protein 2
Gmfb	3110001O16Rik|3110001H22Rik|D14Ertd630e|glia maturation factor, beta
Gmfg	0610039G16Rik|2310057N07Rik|glia maturation factor, gamma
Gmip	5031419I10Rik|Gem-interacting protein
Gml	EG625599|glycosylphosphatidylinositol anchored molecule like
Gml2	hematopoietic cell-specific transcript|HemT|Hemt1|1700057K19Rik|glycosylphosphatidylinositol anchored molecule like 2
Gmnc	LOC385639|Gm606|LOC239789|geminin coiled-coil domain containing
Gmnn	Gem|geminin
Gmppa	1810012N01Rik|GDP-mannose pyrophosphorylase A
Gmppb	GDP-mannose pyrophosphorylase B
Gmpr	2310004P21Rik|guanosine monophosphate reductase
Gmpr2	1810008P16Rik|5730544D12Rik|guanosine monophosphate reductase 2
Gmps	Gm9479|guanine monophosphate synthetase
Gna11	Dsk7|guanine nucleotide binding protein, alpha 11
Gna12	Galpha12|guanine nucleotide binding protein, alpha 12
Gna13	Galpha13|guanine nucleotide binding protein, alpha 13
Gna14	G alpha 14|guanine nucleotide binding protein, alpha 14
Gna15	Galpha15|G[a]15|guanine nucleotide binding protein, alpha 15
Gnai1	Gialpha1|guanine nucleotide binding protein (G protein), alpha inhibiting 1
Gnai2	Gnai-2|Galphai2|Gia|guanine nucleotide binding protein (G protein), alpha inhibiting 2
Gnai3	Galphai3|guanine nucleotide binding protein (G protein), alpha inhibiting 3
Gnal	9630020G10Rik|Gna10|Galphaolf|2610011C15Rik|G alpha 10|Golf|guanine nucleotide binding protein, alpha stimulating, olfactory type
Gnao1	alphaO|Galphao|Go alpha|guanine nucleotide binding protein, alpha O
Gnaq	1110005L02Rik|6230401I02Rik|Dsk10|GqI|Galphaq|Gq|G alpha q|Dsk1|guanine nucleotide binding protein, alpha q polypeptide
Gnas	P3|Gs-alpha|Gs alpha|SCG6|Nesp55|A930027G11Rik|Nespl|Gsa|G alpha s|P2|P1|5530400H20Rik|C130027O20Rik|Oedsml|Galphas|Gnas1|neuroendocrine-specific Golgi protein p55 isoform 1|XLalphas|Gnasxl|Nesp|GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus
Gnat1	Gnat-1|irdr|Tralpha|Ird1|transducin|Ird2|guanine nucleotide binding protein, alpha transducing 1
Gnat2	Gt-2|Tcalpha|Gnat-2|guanine nucleotide binding protein, alpha transducing 2
Gnat3	Ggust|alpha-gustducin|Gtn|guanine nucleotide binding protein, alpha transducing 3
Gnaz	Gz|guanine nucleotide binding protein, alpha z subunit
Gnb1	guanine nucleotide binding protein (G protein), beta 1
Gnb1l	ESTM55|Wdr14|Me49f07|Wdvcf|guanine nucleotide binding protein (G protein), beta polypeptide 1-like
Gnb2	guanine nucleotide binding protein (G protein), beta 2
Gnb2l1	p205|Gnb2-rs1|Rack1|GB-like|guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1
Gnb3	guanine nucleotide binding protein (G protein), beta 3
Gnb4	6720453A21Rik|guanine nucleotide binding protein (G protein), beta 4
Gnb5	G beta 5|Gbeta5|guanine nucleotide binding protein (G protein), beta 5
Gne	2310066H07Rik|glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
Gng10	guanine nucleotide binding protein (G protein), gamma 10
Gng11	0610037B21Rik|guanine nucleotide binding protein (G protein), gamma 11
Gng12	2010305F15Rik|guanine nucleotide binding protein (G protein), gamma 12
Gng13	Ggamma13|guanine nucleotide binding protein (G protein), gamma 13
Gng2	1110003P13Rik|guanine nucleotide binding protein (G protein), gamma 2
Gng3	83|guanine nucleotide binding protein (G protein), gamma 3
Gng4	4|guanine nucleotide binding protein (G protein), gamma 4
Gng5	G(y)5|guanine nucleotide binding protein (G protein), gamma 5
Gng7	guanine nucleotide binding protein (G protein), gamma 7
Gng8	G(y)8|guanine nucleotide binding protein (G protein), gamma 8
Gngt1	Gng1|G(y)1|guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1
Gngt2	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2
Gnl1	Gna-rs1|Gnal1|guanine nucleotide binding protein-like 1
Gnl2	Ngp-1|guanine nucleotide binding protein-like 2 (nucleolar)
Gnl3	NS|nucleostemin|guanine nucleotide binding protein-like 3 (nucleolar)
Gnl3l	guanine nucleotide binding protein-like 3 (nucleolar)-like
Gnmt	glycine N methyl transferase|glycine N-methyltransferase
Gnpat	D1Ertd819e|glyceronephosphate O-acyltransferase
Gnpda1	Gnpi|oscillin|Gnp1|glucose-6-phosphate isomerase|glucosamine-6-phosphate deaminase 1
Gnpda2	Gnp2|4921523I18Rik|4933412A11Rik|glucosamine-6-phosphate deaminase 2
Gnpnat1	EMeg32|glucosamine-phosphate N-acetyltransferase 1
Gnptab	EG432486|N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits
Gnptg	N-acetylglucosamine-1-phosphotransferase, gamma subunit
Gnrh1	LNRH|LHRH|gonadotropin releasing hormone 1
Gnrhr	gonadotropin releasing hormone receptor
Gns	G6S|2610016K11Rik|glucosamine (N-acetyl)-6-sulfatase
Golga1	0710001G09Rik|Golgi97|golgin-97|2210418B03Rik|awag|golgi autoantigen, golgin subfamily a, 1
Golga2	GM130|golgi autoantigen, golgin subfamily a, 2
Golga3	repro27|Mea-2|Mea2|G1-499-14|5430416E01Rik|golgi autoantigen, golgin subfamily a, 3
Golga4	Olp-1|golgin-245|golgi autoantigen, golgin subfamily a, 4
Golga5	Ret-II|golgi autoantigen, golgin subfamily a, 5
Golga7	HSPC041|C130038N16Rik|GCP16|GOLGA3AP1|golgi autoantigen, golgin subfamily a, 7
Golga7b	4933417O08Rik|golgi autoantigen, golgin subfamily a, 7B
Golgb1	C130074L01Rik|F730017E11Rik|6330407A06Rik|Gm6840|Giantin|golgi autoantigen, golgin subfamily b, macrogolgin 1
Golim4	P138|Golph4|GPP130|3110027H23Rik|golgi integral membrane protein 4
Golm1	2310001L02Rik|D030064E01Rik|Golph2|GP73|PSEC0257|golgi membrane protein 1
Golph3	5730410D03Rik|4733401N08Rik|golgi phosphoprotein 3
Golph3l	2010204I15Rik|GPP34R|golgi phosphoprotein 3-like
Golt1a	0610012C01Rik|golgi transport 1 homolog A (S. cerevisiae)
Golt1b	2310061A22Rik|golgi transport 1 homolog B (S. cerevisiae)
Gon4l	1500041I23Rik|2610100B20Rik|gon-4-like (C.elegans)
Gopc	2210402P09Rik|GOPC1|golgi associated PDZ and coiled-coil motif containing
Gorab	Scyl1bp1|NTKL-BP1|golgin, RAB6-interacting
Gorasp1	5430411C10Rik|GOLPH5|P65|GRASP65|golgi reassembly stacking protein 1
Gorasp2	GRASP55|GRS2|9430094F20Rik|p59|5730520M13Rik|GOLPH2|ENSMUSG00000075299|golgi reassembly stacking protein 2
Gosr1	Cis-Golgi SNARE|GS28|GOS-28|golgi SNAP receptor complex member 1
Gosr2	2310032N09Rik|SNARE|membrin|GS27|golgi SNAP receptor complex member 2
Got1	cytosolic aspartate aminotransferase|Got-1|cAspAT|glutamic-oxaloacetic transaminase 1, soluble
Got1l1	1700083M11Rik|glutamic-oxaloacetic transaminase 1-like 1
Got2	mitochondrial aspartate aminotransferase|Got-2|plasma membrane fatty acid binding protein|FABP-pm|mAspAT|glutamatic-oxaloacetic transaminase 2, mitochondrial
Gp1ba	GPIb-alpha|GP Ib-alpha|GPIba|glycoprotein 1b, alpha polypeptide
Gp1bb	glycoprotein Ib, beta polypeptide
Gp2	2310037I18Rik|glycoprotein 2 (zymogen granule membrane)
Gp5	GP V|GPV|glycoprotein 5 (platelet)
Gp6	Gpvi|9830166G18Rik|glycoprotein 6 (platelet)
Gp9	GPIX|Cd42|glycoprotein 9 (platelet)
Gpa33	2210401D16Rik|2010310L10Rik|A33 antigen|glycoprotein A33 (transmembrane)
Gpaa1	mGAA1|GPI anchor attachment protein 1
Gpalpp1	1200011I18Rik|GPALPP motifs containing 1
Gpam	GPAT1|glycerol-3-phosphate acyltransferase, mitochondrial
Gpank1	Bat4|G5|D17H6S54E|G patch domain and ankyrin repeats 1
Gpat2	Gpat2|A530057A03Rik|glycerol-3-phosphate acyltransferase 2, mitochondrial
Gpat4	Agpat6|glycerol-3-phosphate acyltransferase 4
Gpatch1	Gpatc1|1300003A17Rik|G patch domain containing 1
Gpatch11	Ccdc75|2310002B06Rik|G patch domain containing 11
Gpatch2	5830433G22Rik|5830436K05Rik|Gpatc2|G patch domain containing 2
Gpatch2l	1700020O03Rik|G patch domain containing 2 like
Gpatch3	Gpatc3|D930035B09Rik|G patch domain containing 3
Gpatch4	2610029K21Rik|Gpatc4|G patch domain containing 4
Gpatch8	5430405G24Rik|Gpatc8|ENSMUSG00000075516|Fbm1|G patch domain containing 8
Gpbar1	GPR131|BG37|TGR5|M-BAR|G protein-coupled bile acid receptor 1
Gpbp1	D230035M11Rik|1700034P14Rik|GC-rich promoter binding protein 1
Gpbp1l1	5330440M15Rik|GC-rich promoter binding protein 1-like 1
Gpc1	glypican 1
Gpc2	2410016G05Rik|glypican 2 (cerebroglycan)
Gpc3	OCI-5|glypican 3
Gpc4	K-glypican|9530073D23Rik|glypican 4
Gpc5	A230034F01Rik|glypican 5
Gpc6	6720429C22Rik|glypican 6
Gpcpd1	2310004G06Rik|Prei4|2310032D16Rik|glycerophosphocholine phosphodiesterase GDE1 homolog (S. cerevisiae)
Gpd1	Gdc-1|Gdc1|glycerol-3-phosphate dehydrogenase 1 (soluble)
Gpd1l	D9Ertd660e|2210409H23Rik|glycerol-3-phosphate dehydrogenase 1-like
Gpd2	Gdm1|glycerol phosphate dehydrogenase 2, mitochondrial
Gper1	FEG-1|6330420K13Rik|Ceprl|Gper|GPCR-Br|CMKRL2|Gpr30|G protein-coupled estrogen receptor 1
Gpha2	zsig51|GPA2|glycoprotein hormone alpha 2
Gphb5	Zlut1|OGH|glycoprotein hormone beta 5
Gphn	geph|5730552E08Rik|gephyrin
Gpi1	NK/GPI|Gpi-1r|autocrine motility factor|Gpi-1s|AMF|MF|Gpi-1|Gpi-1t|NK|maturation factor|Org|Gpi1-t|Gpi1-s|Gpi1-r|neuroleukin|glucose phosphate isomerase 1
Gpihbp1	GPI-HBP1|1110002J19Rik|GPI-anchored HDL-binding protein 1
Gpkow	T54|DXErtd697e|DXImx41e|mT54|G patch domain and KOW motifs
Gpld1	6330541J12Rik|glycosylphosphatidylinositol specific phospholipase D1
Gpm6a	M6A|Gpm6|glycoprotein m6a
Gpm6b	Gpm6|M6B|glycoprotein m6b
Gpn1	Xab1|2410004J02Rik|GPN-loop GTPase 1
Gpn2	Atpbd1b|GPN-loop GTPase 2
Gpn3	D5Ertd708e|A930018B01Rik|Atpbd1c|GPN-loop GTPase 3
Gpnmb	Osteoactivin|Dchil|DC-HIL|glycoprotein (transmembrane) nmb
Gpr1	G protein-coupled receptor 1
Gpr101	LOC245424|G protein-coupled receptor 101
Gpr107	G protein-coupled receptor 107
Gpr108	1810015L19Rik|G protein-coupled receptor 108
Gpr119	G-protein coupled receptor 119
Gpr12	Gpcr01|Gpcr12|Gpcr20|G-protein coupled receptor 12
Gpr132	G2 accumulation|G2a|G protein-coupled receptor 132
Gpr135	G protein-coupled receptor 135
Gpr137	G protein-coupled receptor 137
Gpr137b	Tm7sf1|C80741|2310041G17Rik|G protein-coupled receptor 137B
Gpr137c	TM7SF1L2|LOC380893|6330416L11Rik|G protein-coupled receptor 137C
Gpr139	LOC209776|GPRg1|G protein-coupled receptor 139
Gpr141	Pgr13|G protein-coupled receptor 141
Gpr142	G protein-coupled receptor 142
Gpr143	Oa1|G protein-coupled receptor 143
Gpr146	PGR8|G protein-coupled receptor 146
Gpr149	PGR10|9630018L10Rik|Ieda|R35|G protein-coupled receptor 149
Gpr15	4933439K08Rik|G protein-coupled receptor 15
Gpr150	C030001A19Rik|PGR11|G protein-coupled receptor 150
Gpr151	GalRL|C130082O03Rik|PGR7|G protein-coupled receptor 151
Gpr152	A930009H15Rik|LOC269053|G protein-coupled receptor 152
Gpr153	PGR1|1110065N12Rik|G protein-coupled receptor 153
Gpr155	DEPDC3|PGR22|1110017O10Rik|F730029F15Rik|G protein-coupled receptor 155
Gpr156	Gababl|G protein-coupled receptor 156
Gpr157	F730108M23Rik|G protein-coupled receptor 157
Gpr158	5330427M13Rik|G protein-coupled receptor 158
Gpr160	1700025D19Rik|G protein-coupled receptor 160
Gpr161	vl|LOC240888|G protein-coupled receptor 161
Gpr162	Grca|A-2|G protein-coupled receptor 162
Gpr165	6530406P05Rik|G protein-coupled receptor 165
Gpr17	G protein-coupled receptor 17
Gpr171	H963|F730001G15Rik|G protein-coupled receptor 171
Gpr173	3230401K02Rik|SREB3|G-protein coupled receptor 173
Gpr174	LOC213439|G protein-coupled receptor 174
Gpr176	LOC381413|G protein-coupled receptor 176
Gpr179	5330439C02Rik|G protein-coupled receptor 179
Gpr18	G protein-coupled receptor 18
Gpr180	E130016I23Rik|ITR|G protein-coupled receptor 180
Gpr182	Gpcr17|Gpcr22|AM-R|G10-D|NOW|Admr|G protein-coupled receptor 182
Gpr183	Ebi2|G protein-coupled receptor 183
Gpr19	G protein-coupled receptor 19
Gpr20	A430106B11Rik|G protein-coupled receptor 20
Gpr21	C230004C13Rik|G protein-coupled receptor 21
Gpr22	2900068K05Rik|G protein-coupled receptor 22
Gpr25	LOC383563|G protein-coupled receptor 25
Gpr26	9630036A11Rik|G protein-coupled receptor 26
Gpr27	G protein-coupled receptor 27
Gpr3	Gpcr3|Gpcr21|G-protein coupled receptor 3
Gpr31b	G protein-coupled receptor 31, D17Leh66b region
Gpr33	G protein-coupled receptor 33
Gpr34	G protein-coupled receptor 34
Gpr35	G protein-coupled receptor 35
Gpr37	Pael-R|parkin-associated endothelin B-like receptor|G protein-coupled receptor 37
Gpr37l1	CAG-18|D0Kist8|G protein-coupled receptor 37-like 1
Gpr39	4933415E13Rik|G protein-coupled receptor 39
Gpr4	G protein-coupled receptor 4
Gpr45	9230112G11Rik|PSP24alpha|G protein-coupled receptor 45
Gpr50	H9|G-protein-coupled receptor 50
Gpr52	EG620246|G protein-coupled receptor 52
Gpr55	LOC227326|G protein-coupled receptor 55
Gpr6	G protein-coupled receptor 6
Gpr61	G protein-coupled receptor 61
Gpr62	4933402E03Rik|G protein-coupled receptor 62
Gpr63	PSP24beta|G protein-coupled receptor 63
Gpr65	Gpcr25|TDAG8|Dig1|G-protein coupled receptor 65
Gpr68	OGR1|G protein-coupled receptor 68
Gpr75	G protein-coupled receptor 75
Gpr82	G protein-coupled receptor 82
Gpr83	Gir|GIR|RP39|Gpr72|RP105|glucocorticoid-induced receptor|RP82|G protein-coupled receptor 83
Gpr84	EX33|G protein-coupled receptor 84
Gpr85	2900026B03Rik|G protein-coupled receptor 85
Gpr87	G protein-coupled receptor 87
Gpr88	Strg|G-protein coupled receptor 88
Gpr89	SH120|4933412D19Rik|G protein-coupled receptor 89
Gprasp1	2210415K24Rik|3110031O14Rik|GASP1|G protein-coupled receptor associated sorting protein 1
Gprasp2	GASP2|5330440H13Rik|Prpl5|G protein-coupled receptor associated sorting protein 2
Gprc5a	Raig1|Gprc5a|Rai3|G protein-coupled receptor, family C, group 5, member A
Gprc5b	hypothetical protein, clone 2-63|G protein-coupled receptor, family C, group 5, member B
Gprc5c	1110028I06Rik|3200002M13Rik|G protein-coupled receptor, family C, group 5, member C
Gprc5d	G protein-coupled receptor, family C, group 5, member D
Gprc6a	G protein-coupled receptor, family C, group 6, member A
Gprin1	Z16|GRIN1|G protein-regulated inducer of neurite outgrowth 1
Gprin2	C130040D06Rik|G protein regulated inducer of neurite outgrowth 2
Gprin3	C030038J10Rik|GPRIN family member 3
Gps1	Csn1|COPS1|G protein pathway suppressor 1
Gps2	G protein pathway suppressor 2
Gpsm1	Ags3|1810037C22Rik|G-protein signalling modulator 1 (AGS3-like, C. elegans)
Gpsm2	LGN|Pins|6230410J09Rik|G-protein signalling modulator 2 (AGS3-like, C. elegans)
Gpsm3	AGS4|G-protein signalling modulator 3 (AGS3-like, C. elegans)
Gpt	Gpt-1|1300007J06Rik|2310022B03Rik|ALT|Gpt1|glutamic pyruvic transaminase, soluble
Gpt2	4631422C05Rik|ALT2|glutamic pyruvate transaminase (alanine aminotransferase) 2
Gpx1	cellular GPx|GPx-1|GSHPx-1|Gpx|CGPx|glutathione peroxidase 1
Gpx2	GPx-GI|intestinal GPx|GI-GPx|glutathione peroxidase 2
Gpx3	GPx|EGPx|plasma GPx|extracellular GPx|glutathione peroxidase 3
Gpx4	sperm nuclei glutathione peroxidase|mtPHGPx|phospholipid hydroperoxide glutathione peroxidase|snGPx|PHGPx|glutathione peroxidase 4
Gpx5	Arep|glutathione peroxidase 5
Gpx6	olfactory|1700020G18Rik|glutathione peroxidase 6
Gpx7	3110050F08Rik|GPX6|glutathione peroxidase 7
Gpx8	2310016C16Rik|glutathione peroxidase 8 (putative)
Gramd1a	D7Bwg0611e|1300003M23Rik|GRAM domain containing 1A
Gramd1b	A930008A22Rik|GRAM domain containing 1B
Gramd1c	4921521N14Rik|GRAM domain containing 1C
Gramd2	GRAM domain containing 2
Gramd3	9030613F08Rik|9130427A09Rik|GRAM domain containing 3
Gramd4	GRAM domain containing 4
Grap	8430435N19Rik|GRB2-related adaptor protein
Grap2	Grb2-related adaptor downstream of Sch|GrpL|GRID|Mona|Gads|P38|Grf40|GRAP-2|GRB2L|GrbX|GRB2-related adaptor protein 2
Grasp	tamalin|GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein
Grb10	5730571D09Rik|Meg1|maternally expressed gene 1|growth factor receptor bound protein 10
Grb14	growth factor receptor bound protein 14
Grb2	growth factor receptor bound protein 2
Grb7	growth factor receptor bound protein 7
Grcc10	2310033H05Rik|gene rich cluster, C10 gene
Greb1	5730583K22Rik|gene regulated by estrogen in breast cancer protein
Greb1l	mKIAA4095|AK220484|growth regulation by estrogen in breast cancer-like
Grem1	Drm|Grem|Cktsf1b1|gremlin|gremlin 1
Grem2	Prdc|gremlin 2 homolog, cysteine knot superfamily (Xenopus laevis)
Grhl1	p61 MGR|p70 MGR|LBP-32|Tcfcp2l2|grainyhead-like 1 (Drosophila)
Grhl2	BOM|grainyheadlike|Tcfcp2l3|0610015A08Rik|grainyhead-like 2 (Drosophila)
Grhl3	ct|Som|Get1|grainyhead-like 3 (Drosophila)
Grhpr	1110059D05Rik|6430629L09Rik|glyoxylate reductase/hydroxypyruvate reductase
Gria1	Glur1|GluRA|GluR-A|Glur-1|GluR1|GluA1|Glr-1|Glr1|2900051M01Rik|HIPA1|glutamate receptor, ionotropic, AMPA1 (alpha 1)
Gria2	Glur-2|GluR2|GluR-B|GluA2|Glur2|glutamate receptor, ionotropic, AMPA2 (alpha 2)
Gria3	Glur3|Glur-3|Gluralpha3|GluR3|2900064I19Rik|glutamate receptor, ionotropic, AMPA3 (alpha 3)
Gria4	Glur-4|spkw1|Gluralpha4|Glur4|glutamate receptor, ionotropic, AMPA4 (alpha 4)
Grid1	GluRdelta1|glutamate receptor, ionotropic, delta 1
Grid2	tpr|B230104L07Rik|GluRdelta2|glutamate receptor, ionotropic, delta 2
Grid2ip	delphilin|glutamate receptor, ionotropic, delta 2 (Grid2) interacting protein 1
Grifin	E130101O17Rik|galectin-related inter-fiber protein
Grik1	D16Ium24|Glurbeta1|Glur5|Glur-5|A830007B11Rik|GluK5|D16Ium24e|glutamate receptor, ionotropic, kainate 1
Grik2	Glurbeta2|Glur6|Glur-6|glutamate receptor, ionotropic, kainate 2 (beta 2)
Grik3	Glur-7|Glur7|glutamate receptor, ionotropic, kainate 3
Grik4	GluRgamma1|6330551K01Rik|KA1|KA-1|glutamate receptor, ionotropic, kainate 4
Grik5	KA2|GluRgamma2|glutamate receptor, ionotropic, kainate 5 (gamma 2)
Grin1	Nmdar|Rgsc174|NR1|NMDAR1|GluRzeta1|M100174|glutamate receptor, ionotropic, NMDA1 (zeta 1)
Grin2a	GluN2A|GluRepsilon1|NMDAR2A|NR2A|glutamate receptor, ionotropic, NMDA2A (epsilon 1)
Grin2b	Nmdar2b|GluRepsilon2|GluN2B|NMDAR2B|NR2B|glutamate receptor, ionotropic, NMDA2B (epsilon 2)
Grin2c	GluRepsilon3|NMDAR2C|NR2C|glutamate receptor, ionotropic, NMDA2C (epsilon 3)
Grin2d	NMDAR2D|GluRepsilon4|GluN2D|NR2D|glutamate receptor, ionotropic, NMDA2D (epsilon 4)
Grin3a	NMDAR-L|A830097C19Rik|NR3A|glutamate receptor ionotropic, NMDA3A
Grin3b	NR3B|glutamate receptor, ionotropic, NMDA3B
Grina	1110025J15Rik|Tmbim3|glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)
Grip1	eb|4931400F03Rik|glutamate receptor interacting protein 1
Grip2	glutamate receptor interacting protein 2
Gripap1	GRASP-1|DXImx47e|Sfc10|GRIP1 associated protein 1
Grk1	RK|Rhok|G protein-coupled receptor kinase 1
Grk4	Gprk2l|A830025H08Rik|G protein-coupled receptor kinase 4
Grk5	Gprk5|G protein-coupled receptor kinase 5
Grk6	Gprk6|G protein-coupled receptor kinase 6
Grm1	Gprc1a|4930455H15Rik|nmf373|mGluR1|Grm1|rcw|glutamate receptor, metabotropic 1
Grm2	Gprc1b|mGluR2|4930441L02Rik|glutamate receptor, metabotropic 2
Grm3	mGluR3|mGlu3|Gprc1c|0710001G23Rik|glutamate receptor, metabotropic 3
Grm4	mGluR4|Gprc1d|glutamate receptor, metabotropic 4
Grm5	Glu5R|Gprc1e|mGluR5|6430542K11Rik|glutamate receptor, metabotropic 5
Grm6	nob2|mGluR6|nob3|nerg1|glutamate receptor, metabotropic 6
Grm7	E130018M02Rik|Gpr1g|6330570A01Rik|mGlu7a receptor|mGluR7|glutamate receptor, metabotropic 7
Grm8	mGluR8|Gprc1h|glutamate receptor, metabotropic 8
Grn	PC cell-derived growth factor|Pgrn|acrogranulin|epithelin|progranulin|granulin
Grp	BLP|gastrin releasing peptide
Grpel1	mt-GrpE#1|GrpE-like 1, mitochondrial
Grpel2	mt-GrpE#2|GrpE-like 2, mitochondrial
Grpr	GRP-R|bombesin receptor|gastrin releasing peptide receptor
Grrp1	2810043G13Rik|glycine/arginine rich protein 1
Grsf1	D5Wsu31e|G-rich RNA sequence binding factor 1
Grtp1	Tbc1d6|5430401C05Rik|GH regulated TBC protein 1
Grwd1	WDR28|glutamate-rich WD repeat containing 1
Grxcr1	pi|tde|glutaredoxin, cysteine rich 1
Grxcr2	LOC332309|glutaredoxin, cysteine rich 2
Gsap	A530088I07Rik|Pion|gamma-secretase activating protein
Gsc	goosecoid homeobox
Gsc2	4930568H22Rik|Gscl|goosecoid homebox 2
Gsdma	Gsdm|H312E|Gsdma1|Gsdm1|gasdermin A
Gsdma2	Gsdm2|2210006M16Rik|Gsdml2|2210411P14Rik|2210009F20Rik|2200001G21Rik|gasdermin A2
Gsdma3	Gsdm3|Fgn|Dfl|Rim3|Gsdm1l|Bsk|Rco2|gasdermin A3
Gsdmc	Mlze|Gsdmc1|gasdermin C
Gsdmc2	gasdermin C2
Gsdmc3	9930109F21Rik|gasdermin C3
Gsdmc4	9030605I04Rik|gasdermin C4
Gsdmd	Gsdmdc1|Dfna5l|DF5L|1810036L03Rik|M2-4|gasdermin D
Gse1	genetic suppressor element 1
Gsg1	germ cell-specific gene 1
Gsg1l	C230098I05Rik|G630023A01Rik|GSG1-like
Gsg1l2	Gm12302|GSG1-like 2
Gsg2	Haspin|germ cell-specific gene 2
Gsk3a	2700086H06Rik|glycogen synthase kinase 3 alpha
Gsk3b	7330414F15Rik|GSK3|GSK-3|GSK-3beta|8430431H08Rik|glycogen synthase kinase 3 beta
Gskip	4933433P14Rik|GSK3B interacting protein
Gsn	gelsolin
Gspt1	Gst-1|G1st|Gst-1|G1 to S phase transition 1
Gspt2	G1 to S phase transition 2
Gsr	D8Ertd238e|Gr1|Gr-1|glutathione reductase
Gss	GS-A/GS-B|glutathione synthetase
Gsta1	Gst2-1|glutathione S-transferase, alpha 1 (Ya)
Gsta2	Gst2-2|Gstc2|Gstc-2|glutathione S-transferase, alpha 2 (Yc2)
Gsta3	Gst2-3|glutathione S-transferase, alpha 3
Gsta4	GST 5.7|mGsta4|glutathione S-transferase, alpha 4
Gstcd	4933434L15Rik|glutathione S-transferase, C-terminal domain containing
Gstk1	DsbA-L|0610025I19Rik|glutathione S-transferase kappa 1
Gstm1	Gstb-1|Gstb1|glutathione S-transferase, mu 1
Gstm2	Gstb2|Gstb-2|glutathione S-transferase, mu 2
Gstm3	Fsc2|mGSTM5|glutathione S-transferase, mu 3
Gstm4	Gstb-4|1110004G14Rik|Gstb4|glutathione S-transferase, mu 4
Gstm5	glutathione S-transferase, mu 5
Gstm6	glutathione S-transferase, mu 6
Gstm7	Cd203c|0610005A07Rik|glutathione S-transferase, mu 7
Gsto1	GSTX|p28|glutathione S-transferase omega 1
Gsto2	4930425C18Rik|1700020F09Rik|glutathione S-transferase omega 2
Gstp1	GstpiB|Gst p-1|glutathione S-transferase, pi 1
Gstp2	Gst p-2|Gst-3|GSTpiA|Gst3|glutathione S-transferase, pi 2
Gstt1	Gstt1-1|glutathione S-transferase, theta 1
Gstt2	Yrs|mGSTT2|glutathione S-transferase, theta 2
Gstt3	glutathione S-transferase, theta 3
Gstt4	4930583C14Rik|glutathione S-transferase, theta 4
Gstz1	maleylacetoacetate isomerase|glutathione transferase zeta 1 (maleylacetoacetate isomerase)
Gsx1	Gsh-1|Gsh1|GS homeobox 1
Gsx2	Gsh-2|Gsh2|GS homeobox 2
Gtdc1	E330008O22Rik|glycosyltransferase-like domain containing 1
Gtf2a1	6330549H03Rik|TfIIAa/b|19kDa|37kDa|Tfiia1|general transcription factor II A, 1
Gtf2a1l	Gtf2a1lf|1700011N16Rik|Alf|general transcription factor IIA, 1-like
